LAMMPS (2 Aug 2023 - Update 1)
Reading data file ...
  orthogonal box = (0 0 0) to (6.5850607 6.5850607 6.5850607)
  2 by 4 by 5 MPI processor grid
  reading atoms ...
  12 atoms
  read_data CPU = 0.022 seconds
Replication is creating a 6x6x6 = 216 times larger system...
  orthogonal box = (0 0 0) to (39.510364 39.510364 39.510364)
  2 by 4 by 5 MPI processor grid
  2592 atoms
  replicate CPU = 0.002 seconds
1728 atoms in group Ag
864 atoms in group Te
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 10.3
  ghost atom cutoff = 10.3
  binsize = 5.15, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.123 | 3.128 | 3.13 Mbytes
   Step          Temp          Press            Lx             Ly             Lz      
     49000   396.96824     -1678.4603      36.72393       36.674723      36.765404    
     50000   403.51629     -49.961678      36.731744      36.650635      36.736012    
     51000   391.35915      707.44041      36.772897      36.675332      36.639438    
     52000   403.52496      1077.9575      36.702375      36.672944      36.701383    
     53000   388.43819      611.41242      36.835623      36.579109      36.700682    
     54000   390.74189      233.10708      36.767477      36.694991      36.655141    
     55000   397.59232     -184.57872      36.721346      36.686958      36.736208    
     56000   399.91485      372.42498      36.756661      36.687335      36.65419     
     57000   410.44973      267.6365       36.685847      36.730167      36.686515    
     58000   414.03108      531.1206       36.800516      36.6423        36.682896    
     59000   398.71181     -543.32543      36.745606      36.697562      36.698224    
     60000   400.8495      -1326.2771      36.786578      36.684656      36.686144    
     61000   398.95863     -1463.7715      36.72205       36.691957      36.768752    
     62000   409.19434     -702.75792      36.805349      36.63446       36.704864    
     63000   394.59482      97.190258      36.759801      36.627776      36.71538     
     64000   395.25757      691.42181      36.753857      36.706393      36.625692    
     65000   407.24567     -625.90704      36.763995      36.641108      36.701184    
     66000   388.62488     -291.53346      36.689751      36.716317      36.70606     
     67000   401.55512      230.29096      36.697538      36.658411      36.736516    
     68000   406.27219      2298.2307      36.693882      36.623053      36.707651    
     69000   409.48405      1457.0401      36.723525      36.687618      36.673217    
     70000   405.1315       1859.0552      36.614479      36.650336      36.778591    
     71000   402.81189      1236.2767      36.713295      36.71296       36.663647    
     72000   400.80091      1989.2878      36.779335      36.599758      36.664652    
     73000   391.6871       1801.8966      36.634671      36.772671      36.67726     
     74000   401.66998      257.04437      36.71213       36.658813      36.727861    
     75000   404.07139     -969.81949      36.713884      36.72121       36.736048    
     76000   397.73445     -773.28408      36.760911      36.607525      36.758376    
     77000   399.36052      1304.3764      36.65085       36.65737       36.790164    
     78000   395.07329      3145.0062      36.706784      36.640751      36.658998    
     79000   402.73605      866.63646      36.764948      36.565857      36.765451    
     80000   400.99289      632.34565      36.783115      36.576884      36.707561    
     81000   396.3329       197.01426      36.756883      36.647231      36.703306    
     82000   391.15022     -21.267076      36.731592      36.716023      36.661286    
     83000   400.66243     -167.36681      36.750389      36.609352      36.755703    
     84000   412.47595      1057.8302      36.643422      36.696702      36.737828    
     85000   405.22319      816.78555      36.818744      36.639241      36.62103     
     86000   399.37441     -1320.9554      36.742089      36.69839       36.702103    
     87000   384.93842      822.48638      36.743051      36.632887      36.698326    
     88000   390.65326     -746.20179      36.640875      36.733243      36.741595    
     89000   398.88037     -389.37941      36.669357      36.673524      36.763904    
     90000   396.53234     -575.08606      36.732082      36.59527       36.79969     
     91000   401.59432      1157.0148      36.765874      36.565637      36.733254    
     92000   398.37063      1595.8088      36.672014      36.621861      36.74521     
     93000   386.8086       284.22333      36.721386      36.66892       36.698211    
     94000   395.27077      624.00624      36.690125      36.637876      36.733101    
     95000   408.91608      625.99921      36.647362      36.68151       36.774344    
     96000   395.65383      706.60803      36.782471      36.679684      36.657686    
     97000   395.26274     -1199.2528      36.723432      36.653803      36.777749    
     98000   400.60278     -390.56629      36.651987      36.685612      36.790622    
     99000   398.55691      1161.3001      36.666624      36.641206      36.754108    
    100000   403.84175      1741.0582      36.735401      36.500654      36.806095    
    101000   406.70344     -836.24299      36.6551        36.69348       36.781761    
    102000   412.61968      382.2233       36.860843      36.5599        36.682656    
    103000   407.28769      298.2821       36.657473      36.673543      36.782943    
    104000   397.31857      443.36113      36.681017      36.586664      36.844259    
    105000   403.58854     -461.61404      36.692707      36.658465      36.779034    
    106000   400.49386     -1013.7684      36.624803      36.725146      36.799303    
    107000   413.94769     -1036.5067      36.753245      36.723247      36.678491    
    108000   398.8362       51.429896      36.673791      36.715693      36.700718    
    109000   413.2599       640.95871      36.659516      36.700963      36.713342    
    110000   397.58395      1726.4023      36.6759        36.648815      36.688435    
    111000   401.16302      1490.0187      36.727286      36.587736      36.743774    
    112000   398.364        922.06197      36.760906      36.57695       36.712493    
    113000   396.30443     -145.20302      36.753986      36.639595      36.702693    
    114000   397.24673     -1433.1419      36.756233      36.594473      36.796922    
    115000   390.93881     -87.531123      36.6999        36.635811      36.781967    
    116000   403.69113     -584.68394      36.653243      36.690166      36.781788    
    117000   389.97748     -561.25089      36.726181      36.634056      36.778631    
    118000   394.1258      -1479.7027      36.679281      36.667165      36.809835    
    119000   402.40847     -1321.2131      36.752705      36.632823      36.775949    
    120000   401.25425     -1242.3416      36.727545      36.690816      36.74495     
    121000   408.47643     -776.40549      36.666468      36.654589      36.841568    
    122000   402.70421     -432.28783      36.721035      36.65697       36.725805    
    123000   407.68761     -192.75102      36.757493      36.595245      36.769424    
    124000   399.39329      583.76237      36.687599      36.57504       36.824798    
    125000   397.18977      148.84585      36.703233      36.620892      36.772696    
    126000   402.58284     -496.91826      36.738823      36.625809      36.770421    
    127000   392.19528     -20.831292      36.643136      36.706417      36.735769    
    128000   400.98129      438.40952      36.783754      36.549176      36.764448    
    129000   392.60064      1007.7098      36.700498      36.596735      36.755895    
    130000   399.99685      1609.6583      36.637049      36.541111      36.842153    
    131000   396.93688      1193.6758      36.601345      36.689808      36.745746    
    132000   400.1722       1439.3016      36.748914      36.54945       36.763914    
    133000   402.18725      1558.1483      36.728666      36.568298      36.742985    
    134000   408.43774     -1007.4605      36.703911      36.563707      36.871939    
    135000   406.76681     -82.258525      36.731338      36.593101      36.776767    
    136000   409.04568      165.41972      36.654753      36.528314      36.88995     
    137000   387.88078      157.16864      36.772185      36.557476      36.750778    
    138000   413.03732      333.73063      36.657242      36.619163      36.808563    
    139000   404.02929      376.52518      36.680662      36.680833      36.710538    
    140000   407.35986      908.46819      36.734411      36.565633      36.774143    
    141000   410.16672      2578.902       36.686835      36.59927       36.748527    
    142000   400.4756       2088.6388      36.689576      36.533746      36.797847    
    143000   401.60068      717.84471      36.724899      36.606953      36.749487    
    144000   412.94729     -853.13048      36.721684      36.594319      36.801368    
    145000   413.0984      -103.24981      36.753711      36.633053      36.720705    
    146000   394.8662      -1433.4163      36.756505      36.667168      36.715212    
    147000   392.99354     -1326.0733      36.7743        36.554758      36.803516    
    148000   395.96321      495.32633      36.661897      36.587955      36.823672    
    149000   420.94384      121.68482      36.68355       36.649964      36.769894    
    150000   394.6377       192.14912      36.764509      36.519268      36.807152    
    151000   392.93385     -93.191898      36.748648      36.565763      36.779242    
    152000   407.48878      948.27552      36.729988      36.545786      36.80459     
    153000   400.37604      2114.7424      36.757323      36.575417      36.708951    
    154000   403.41561      1204.5767      36.655957      36.631699      36.770081    
    155000   406.42841      1003.8461      36.683244      36.586741      36.80006     
    156000   395.03446      795.21248      36.655776      36.603238      36.804289    
    157000   409.88267      679.28841      36.710712      36.561596      36.80043     
    158000   402.67347      160.82788      36.715527      36.626411      36.744588    
    159000   399.47516     -45.61597       36.731806      36.617472      36.759635    
    160000   411.84811      12.753534      36.726141      36.60955       36.774773    
    161000   412.60087      247.31899      36.700499      36.626066      36.773796    
    162000   399.1618      -139.87643      36.675379      36.669923      36.775229    
    163000   387.13694     -812.92094      36.675461      36.706448      36.758811    
    164000   395.10744     -1523.2943      36.672486      36.672608      36.807273    
    165000   392.21566     -155.57649      36.643268      36.650329      36.813519    
    166000   411.2522       527.19426      36.639488      36.567109      36.85465     
    167000   400.11262     -961.44259      36.70671       36.64271       36.760503    
    168000   402.83076      426.05484      36.556361      36.665347      36.878955    
    169000   394.42424      92.928215      36.752321      36.581222      36.757397    
    170000   401.27786      299.44052      36.748687      36.571674      36.752593    
    171000   406.45876     -415.28208      36.606116      36.68106       36.817123    
    172000   409.47364     -833.73247      36.691796      36.570833      36.843885    
    173000   392.73475      384.86787      36.730727      36.599888      36.740217    
    174000   394.45365     -693.12817      36.732797      36.65293       36.726902    
    175000   392.11511      495.83686      36.681835      36.591696      36.818668    
    176000   405.65374      1565.6712      36.648147      36.600893      36.773698    
    177000   404.09577      41.575735      36.694226      36.594699      36.798177    
    178000   401.86314      243.14154      36.660958      36.564123      36.84869     
    179000   399.63642      293.09866      36.695514      36.666822      36.710758    
    180000   394.75716     -631.06649      36.604254      36.645193      36.871371    
    181000   401.62303     -1111.5014      36.721085      36.57973       36.837396    
    182000   382.83034     -1815.1731      36.821756      36.634201      36.704285    
    183000   401.10667     -376.7076       36.710883      36.565597      36.850744    
    184000   402.15707     -71.435466      36.695013      36.613284      36.800554    
    185000   397.27161      1034.4752      36.67579       36.607309      36.789631    
    186000   401.99829      1014.5097      36.706295      36.603491      36.751036    
    187000   397.56379      418.2991       36.761343      36.609553      36.727864    
    188000   400.12121     -908.3785       36.67739       36.692064      36.753042    
    189000   401.09587     -203.81498      36.715415      36.692633      36.7268      
    190000   402.2503       1325.8474      36.687199      36.544446      36.814381    
    191000   401.47247      1002.6665      36.721793      36.608252      36.730569    
    192000   402.07406      1554.6842      36.762583      36.51442       36.771359    
    193000   398.418       -260.02026      36.694047      36.627494      36.794444    
    194000   399.35879      792.61021      36.623561      36.626648      36.839019    
    195000   399.93903     -392.50831      36.719125      36.565758      36.800856    
    196000   393.40845      119.95625      36.62467       36.680715      36.766333    
    197000   401.36862      228.25859      36.626104      36.62927       36.835427    
    198000   399.16786      836.9359       36.698595      36.604494      36.756475    
    199000   392.68735     -126.08079      36.697773      36.472142      36.927618    
    200000   393.65119      1700.6021      36.681062      36.630421      36.733395    
    201000   411.0964       1447.7698      36.679235      36.598641      36.755519    
    202000   396.60381      395.15785      36.68157       36.676097      36.732317    
    203000   391.26684     -207.47623      36.672967      36.615258      36.828713    
    204000   408.06449     -1473.9371      36.785081      36.606452      36.755135    
    205000   401.13994     -1015.6678      36.747205      36.67055       36.720298    
    206000   393.8778      -536.02007      36.677726      36.669278      36.782761    
    207000   397.62476     -739.241        36.685225      36.636135      36.836839    
    208000   406.42624     -923.42553      36.686875      36.597904      36.861229    
    209000   404.8794      -80.130404      36.721027      36.671021      36.701094    
    210000   389.14253      843.14555      36.801326      36.591916      36.668818    
    211000   400.66547      37.328495      36.752279      36.569675      36.773456    
    212000   400.38797     -747.24046      36.717729      36.613974      36.776977    
    213000   392.25675      91.491558      36.702821      36.613299      36.775253    
    214000   395.19139     -306.11992      36.655867      36.609589      36.831351    
    215000   405.96961      40.224766      36.682355      36.646985      36.75927     
    216000   418.38018      1096.6734      36.75138       36.545296      36.747826    
    217000   409.86986      540.26194      36.720364      36.65533       36.677897    
    218000   398.22694      2211.086       36.651463      36.588832      36.759575    
    219000   398.31154      1349.6811      36.682153      36.642144      36.713907    
    220000   397.53402     -676.40022      36.729281      36.662693      36.730286    
    221000   402.87611     -1670.071       36.679461      36.757602      36.71048     
    222000   397.18947     -163.65525      36.756876      36.603493      36.718796    
    223000   396.1719      -702.6634       36.689024      36.635015      36.81509     
    224000   400.86745     -197.37211      36.717219      36.688254      36.713807    
    225000   396.75635      1314.5517      36.695997      36.647851      36.696027    
    226000   401.15014      1751.3855      36.701433      36.594345      36.723605    
    227000   403.41352     -195.42843      36.664034      36.670496      36.760532    
    228000   404.75015     -964.60458      36.748633      36.577719      36.803953    
    229000   406.19027     -69.124909      36.674832      36.661665      36.761629    
    230000   394.78452     -387.83557      36.69748       36.675174      36.718033    
    231000   391.57892     -629.95006      36.721797      36.65926       36.742702    
    232000   393.73275     -1526.3754      36.722446      36.577155      36.827907    
    233000   398.9778      -1343.4037      36.687731      36.661223      36.812883    
    234000   399.20075     -434.5891       36.819846      36.607276      36.70635     
    235000   393.46761      474.5139       36.685464      36.622269      36.770379    
    236000   407.66484     -1794.7652      36.864074      36.688491      36.601533    
    237000   399.23731     -126.61008      36.679214      36.668479      36.767313    
    238000   401.14786     -1344.9751      36.766672      36.636822      36.736704    
    239000   398.58477     -1319.6267      36.788871      36.587359      36.762195    
    240000   401.02302      593.48193      36.672666      36.630132      36.771984    
    241000   394.63148      1876.0687      36.736296      36.69202       36.60019     
    242000   400.99755      447.18168      36.674771      36.665063      36.746074    
    243000   395.7432       1254.6405      36.74153       36.654285      36.620719    
    244000   404.31956      979.44016      36.667955      36.559429      36.840464    
    245000   395.05465      215.02409      36.745968      36.598779      36.739466    
    246000   399.30384     -804.95913      36.719065      36.651102      36.759019    
    247000   393.64395     -1834.4733      36.808452      36.579976      36.747036    
    248000   409.04935     -1331.0104      36.71959       36.61157       36.811025    
    249000   403.92909     -950.70187      36.787269      36.606053      36.759598    
    250000   404.05319      272.62002      36.817341      36.543479      36.750042    
    251000   391.18499      548.99419      36.734572      36.590526      36.760329    
    252000   402.73715      493.03932      36.718382      36.693251      36.653461    
    253000   412.69833      503.79087      36.690299      36.633196      36.764161    
    254000   395.60863     -536.91016      36.742256      36.625647      36.761972    
    255000   404.31169     -452.20586      36.660501      36.67565       36.778173    
    256000   409.24854     -3451.1687      36.771124      36.680088      36.797277    
    257000   390.44333     -954.12468      36.759992      36.567771      36.822992    
    258000   409.05097     -321.19835      36.738748      36.653428      36.70276     
    259000   389.60901      872.9105       36.743474      36.549699      36.766386    
    260000   393.9352       1026.3583      36.851845      36.561934      36.645284    
    261000   401.91862     -670.03559      36.703504      36.640701      36.767083    
    262000   396.51527     -2629.3918      36.693128      36.722985      36.779264    
    263000   395.99673     -1880.2325      36.804987      36.623767      36.736148    
    264000   392.47488     -1280.6487      36.772719      36.636033      36.710024    
    265000   393.99113      1143.9926      36.676308      36.670576      36.70422     
    266000   404.33125     -875.82315      36.778759      36.696274      36.628825    
    267000   401.49719     -293.16417      36.776736      36.561736      36.760942    
    268000   398.74362     -502.59113      36.727371      36.600321      36.785849    
    269000   397.54783     -941.54159      36.699747      36.706144      36.743258    
    270000   399.09505     -708.71788      36.644284      36.659977      36.834877    
    271000   404.45071     -1660.6378      36.774996      36.576413      36.791117    
    272000   399.95098     -328.59458      36.671566      36.686924      36.74237     
    273000   395.58618      328.67891      36.762883      36.522712      36.789878    
    274000   401.01283      961.10494      36.72154       36.518119      36.794782    
    275000   394.79485      1822.3664      36.616703      36.592755      36.819023    
    276000   400.97682      161.38294      36.691021      36.575855      36.839896    
    277000   401.25849     -1024.0397      36.686113      36.622465      36.824346    
    278000   404.91333     -1718.2343      36.753021      36.643132      36.760095    
    279000   394.65802      71.354346      36.751409      36.55701       36.778133    
    280000   400.67086     -763.51878      36.655052      36.662408      36.802851    
    281000   394.51723     -597.23655      36.713577      36.568306      36.818172    
    282000   399.108        717.72565      36.719956      36.629513      36.718887    
    283000   406.22594      693.20183      36.722312      36.60319       36.732481    
    284000   404.09217      128.92861      36.681838      36.571387      36.847387    
    285000   409.47176      1295.5221      36.662748      36.621877      36.768556    
    286000   394.80444     -175.80794      36.664429      36.61925       36.793501    
    287000   404.84054     -1610.6132      36.606208      36.762792      36.792919    
    288000   392.27817     -1972.4363      36.758716      36.626152      36.771379    
    289000   398.64423     -146.0226       36.628683      36.681115      36.782387    
    290000   405.1179      -538.9755       36.734435      36.572631      36.778393    
    291000   398.78228     -257.52859      36.704845      36.529944      36.847891    
    292000   391.55058      329.45495      36.63746       36.642963      36.82462     
    293000   398.83409     -202.70824      36.706139      36.538155      36.824874    
    294000   397.47716      1925.2132      36.643517      36.590963      36.781799    
    295000   404.15486      754.8229       36.661705      36.604679      36.771108    
    296000   403.90796      633.42947      36.595241      36.647039      36.838615    
    297000   398.82716      434.15035      36.728864      36.551665      36.784941    
    298000   390.23745      55.221591      36.638038      36.589348      36.857738    
    299000   401.02099      249.24907      36.6466        36.620322      36.817687    
    300000   402.35054     -117.63068      36.699012      36.567958      36.827692    
    301000   402.87876     -756.79484      36.633042      36.691592      36.762744    
    302000   395.19411     -686.00672      36.737425      36.552115      36.818689    
    303000   399.31509     -281.04816      36.672653      36.568477      36.849341    
    304000   397.71285     -1960.3134      36.727146      36.555694      36.88568     
    305000   384.97141     -1599.5579      36.733182      36.615104      36.784259    
    306000   394.58065     -772.68351      36.741954      36.5566        36.814499    
    307000   406.11432     -214.30295      36.656442      36.637745      36.823527    
    308000   390.73801     -388.25278      36.779625      36.562846      36.764904    
    309000   388.2893      -830.76057      36.687137      36.63355       36.782003    
    310000   395.46562     -338.69325      36.586767      36.651296      36.845458    
    311000   402.52739     -569.4217       36.64916       36.603385      36.847745    
    312000   404.32053      1198.0135      36.649033      36.594237      36.807572    
    313000   404.30985     -1273.0106      36.641566      36.618889      36.859996    
    314000   405.5446      -1156.9591      36.704247      36.654922      36.752831    
    315000   405.89792     -620.85977      36.686922      36.616132      36.799588    
    316000   403.96746      1896.6635      36.616935      36.666764      36.749896    
    317000   399.14805      962.75894      36.66345       36.557767      36.830472    
    318000   405.68521      68.613518      36.662362      36.584077      36.811864    
    319000   402.28079      1468.4644      36.649061      36.514907      36.870686    
    320000   403.66859     -547.93241      36.675435      36.569417      36.855592    
    321000   405.19005      15.475886      36.705606      36.507731      36.861711    
    322000   392.24666      1651.3454      36.589767      36.59912       36.84228     
    323000   406.58891     -15.461506      36.783311      36.577193      36.753226    
    324000   389.84817      738.49568      36.62598       36.505665      36.933914    
    325000   398.89224     -610.356        36.575346      36.662205      36.865929    
    326000   399.31666     -633.99633      36.6777        36.582731      36.866166    
    327000   402.67886     -1861.3259      36.691047      36.577043      36.911783    
    328000   391.966       -926.1127       36.660081      36.640004      36.855097    
    329000   397.94506     -523.17912      36.721202      36.560134      36.825861    
    330000   401.60511     -897.18951      36.714637      36.618627      36.801871    
    331000   393.94817     -909.55762      36.681364      36.616973      36.815083    
    332000   411.35713      604.87671      36.617718      36.525131      36.914201    
    333000   407.64294      2060.5784      36.646876      36.601021      36.797866    
    334000   403.48928      410.00571      36.688497      36.547556      36.846643    
    335000   402.53513     -1759.362       36.775082      36.586262      36.802169    
    336000   394.88997     -645.28366      36.6774        36.5341        36.88456     
    337000   402.06895     -1092.572       36.721263      36.576327      36.822905    
    338000   388.78361     -1379.2236      36.592183      36.655949      36.89601     
    339000   403.11128      175.68884      36.762693      36.575928      36.738184    
    340000   392.12363     -397.25336      36.688003      36.603025      36.828782    
    341000   400.85009     -762.75836      36.643003      36.661265      36.823288    
    342000   401.80286     -890.78418      36.648749      36.614689      36.860694    
    343000   391.30958     -1084.225       36.598579      36.659837      36.859398    
    344000   392.26241     -2109.15        36.589451      36.677568      36.909971    
    345000   403.15005     -61.055653      36.588053      36.603409      36.9118      
    346000   397.51827      676.39272      36.622326      36.609869      36.832942    
    347000   395.95863      6.7411473      36.676993      36.55951       36.836941    
    348000   392.03145     -240.00394      36.715169      36.509492      36.857376    
    349000   401.08754      31.425307      36.611697      36.616345      36.853155    
    350000   401.43158      185.46562      36.708595      36.526815      36.837968    
    351000   403.62103      512.08683      36.606338      36.61952       36.821794    
    352000   402.02186      1370.4494      36.584149      36.518376      36.919998    
    353000   398.14763      1992.3688      36.608543      36.58771       36.839851    
    354000   401.97437      722.99097      36.657168      36.530559      36.847845    
    355000   392.15306      2023.7844      36.588181      36.579817      36.827351    
    356000   410.48455      2920.4056      36.611162      36.492367      36.850343    
    357000   397.30303      1121.6913      36.648615      36.611977      36.781699    
    358000   399.20192      976.8047       36.657666      36.540078      36.839949    
    359000   395.77836      1327.325       36.595448      36.657053      36.786374    
    360000   397.33457      864.79049      36.473223      36.599952      36.973166    
    361000   401.57644      298.40292      36.584408      36.604886      36.869303    
    362000   396.80695      237.26709      36.494954      36.703715      36.889135    
    363000   412.77436      1163.0401      36.704251      36.563069      36.776387    
    364000   391.16224      98.513994      36.645492      36.5717        36.875398    
    365000   396.18852     -454.90277      36.669508      36.623437      36.794564    
    366000   406.62759      889.90544      36.657527      36.582796      36.797727    
    367000   393.05823      1659.1411      36.598613      36.585548      36.827626    
    368000   398.74518      2948.3327      36.599741      36.566588      36.811715    
    369000   402.4164       1468.9804      36.599633      36.582238      36.854304    
    370000   394.40183     -657.11042      36.635957      36.601785      36.836709    
    371000   400.03975      796.91068      36.563627      36.649182      36.84871     
    372000   397.83309      622.43806      36.650169      36.584939      36.831409    
    373000   394.86313      902.44381      36.556007      36.628192      36.869503    
    374000   403.66016      229.42078      36.60545       36.574105      36.850366    
    375000   405.27119      1094.9456      36.567055      36.583038      36.877833    
    376000   394.30549      1163.3241      36.615769      36.59754       36.813571    
    377000   402.77873      1735.1543      36.709365      36.45686       36.850847    
    378000   395.01182      714.41961      36.606633      36.665388      36.780478    
    379000   403.22363      342.90921      36.618206      36.632063      36.800456    
    380000   402.51723      402.19486      36.571236      36.6493        36.830992    
    381000   406.17687     -838.21853      36.594372      36.664482      36.863826    
    382000   398.61092      607.81651      36.548503      36.635925      36.881607    
    383000   393.04758      1456.0267      36.600364      36.487724      36.932143    
    384000   400.16211      207.23205      36.606041      36.570151      36.899686    
    385000   400.70588     -1796.5035      36.631641      36.501524      37.014306    
    386000   396.78328     -762.66063      36.593164      36.573558      36.948129    
    387000   397.84757      154.24921      36.617255      36.567901      36.90696     
    388000   413.71603     -996.37795      36.60842       36.538886      36.953273    
    389000   405.36137     -1882.1207      36.530484      36.585402      37.013188    
    390000   403.95137     -1446.1523      36.623317      36.600751      36.900345    
    391000   401.96785      83.011523      36.590491      36.445357      37.045859    
    392000   406.23637      716.00097      36.536334      36.540589      36.985345    
    393000   399.274        1582.7869      36.504009      36.55258       36.947325    
    394000   394.6287      -230.44268      36.672         36.587115      36.822152    
    395000   405.4458      -1525.7729      36.562602      36.638571      36.923683    
    396000   396.38228     -2082.7952      36.601215      36.537511      37.013306    
    397000   390.16811     -614.09523      36.60895       36.575431      36.911112    
    398000   404.2245      -1941.2361      36.645024      36.531651      36.939208    
    399000   401.05009     -2020.5068      36.634138      36.548809      36.977739    
    400000   395.37568     -3002.1232      36.620085      36.60018       36.959015    
    401000   398.29504     -1227.5839      36.58021       36.583854      36.959799    
    402000   398.20089     -993.98884      36.527969      36.553388      37.010396    
    403000   403.07474     -74.873399      36.575914      36.594388      36.920246    
    404000   397.37785     -980.90984      36.585999      36.623101      36.895914    
    405000   405.43994      912.94707      36.561321      36.542782      36.926929    
    406000   394.49019      1266.1037      36.568862      36.526677      36.917098    
    407000   392.68885      1746.1721      36.593559      36.497638      36.916153    
    408000   400.82609      363.1782       36.634422      36.582518      36.841942    
    409000   403.16856      505.2978       36.592897      36.579128      36.882492    
    410000   387.74863      1260.8552      36.581819      36.564297      36.87088     
    411000   405.22418      421.18837      36.704448      36.501845      36.838131    
    412000   392.65547      1932.6505      36.494493      36.608878      36.904838    
    413000   397.24778      288.51985      36.523645      36.605237      36.921075    
    414000   396.15892      722.64233      36.535661      36.583151      36.924703    
    415000   393.49746     -11.567454      36.579977      36.507685      37.007767    
